Title,Content,Link,Date,Image 
Awal Mula Errornya WhatsApp  Instagram  dan Facebook Semalam, Facebook memberi keterangan lebih lanjut tentang masalah pada layanannya  termasuk Instagram dan WhatsApp. Error itu berawal dari sebuah maintenance rutin., https://inet.detik.com/cyberlife/d-4610862/awal-mula-errornya-whatsapp-instagram-dan-facebook-semalam, detikInetKamis  04 Jul 2019 12:05 WIB, https://akcdn.detik.net.id/community/media/visual/2019/02/04/9aa04757-f8ee-4aaf-97db-59007166adac_43.jpeg?w=250&q= 
Galau Putus Cinta  Wanita Ini Rekam Dirinya Saat Minum Sampo, Bagi sebagian orang putus cinta merupakan masalah berat bikin galau. Seperti wanita ini  yang luapkan kesedihannya dengan minum sampo hingga mulutnya berbusa., https://food.detik.com/info-kuliner/d-4610864/galau-putus-cinta-wanita-ini-rekam-dirinya-saat-minum-sampo, detikFoodKamis  04 Jul 2019 11:50 WIB, https://akcdn.detik.net.id/community/media/visual/2019/07/04/8b2c157f-b3e3-46d2-a16c-94cd0de3d575_43.jpeg?w=250&q= 
Perusahaan Singapura Akuisisi Kepemilikan Data Center XL Axiata, PDG merampungkan kesepakatan untuk akusisi bisnis layanan data center XL Axiata. Perusahaan yang bermarkas di Singapura itu menguasai kepemilikan sebesar 70%., https://inet.detik.com/business/d-4610459/perusahaan-singapura-akuisisi-kepemilikan-data-center-xl-axiata, detikInetRabu  03 Jul 2019 23:00 WIB, https://akcdn.detik.net.id/community/media/visual/2019/07/03/2184a30b-c7e0-46a6-b5cb-e8b9b7c3bb03_43.jpeg?w=250&q= 
Qualcomm: 5G Bukan Cuma soal Internet Ngebut, , https://20.detik.com/e-flash/20190628-190628100/qualcomm-5g-bukan-cuma-soal-internet-ngebut, Jumat  28 Jun 2019 21:23 WIB   -  e-Flash, https://akcdn.detik.net.id/community/media/visual/videoservice/AdminTV/2019/06/28/Qualcomm-_5G_Bukan_Cuma_soal_Inter_48A2fyO-20190628212344-custom.jpg?w=700 
Indosat-Google Kolaborasi Bikin MDP buat Pelanggan IM3, Indosat Ooredoo menjalin kerjasama dengan Google untuk menciptakan Mobile Data Plan (MDP) guna mempermudah pelanggan IM3 saat mengecek dan beli paket data., https://inet.detik.com/telecommunication/d-4610455/indosat-google-kolaborasi-bikin-mdp-buat-pelanggan-im3, detikInetRabu  03 Jul 2019 21:38 WIB, https://akcdn.detik.net.id/community/media/visual/2016/10/14/af007d4d-434a-4343-a670-704401601c1d_43.jpg?w=250&q= 
'Ikan Asin' Jadi Perkara  Hotman Paris Dianggap Terlalu Maksa, Kuasa hukum Galih Ginanjar  Acong Latif mengatakan perkara 'ikan asin' yang menjerat kliennya terlalu dipaksakan. Hotman Paris juga disebut terlalu mengada-ada., https://hot.detik.com/celeb/d-4610259/ikan-asin-jadi-perkara-hotman-paris-dianggap-terlalu-maksa, detikHotRabu  03 Jul 2019 19:54 WIB, https://akcdn.detik.net.id/community/media/visual/2019/07/03/27cd58f6-0c70-4c93-a61e-2ec08ced0710_43.jpeg?w=250&q= 
'Win Win Digital Collaboration' Indonesia-Arab Saudi, Indonesia bersedia berkolaborasi dengan pemerintah Arab Saudi dalam mewujudkan visi 2030 negara itu. Apa untungnya buat Indonesia?, https://inet.detik.com/law-and-policy/d-4610016/win-win-digital-collaboration-indonesia-arab-saudi, detikInetRabu  03 Jul 2019 17:20 WIB, https://akcdn.detik.net.id/community/media/visual/2019/07/03/f7261361-2e92-451d-814f-b0d6818c18c5_43.jpeg?w=250&q= 
Grab Gandeng Telkom untuk Garap Internet of ThingsPastikan Desain Pixel 4  Google Diserbu Meme Lucu10 Negara dengan Koneksi 4G Paling Ngebut  Indonesia Urutan Berapa?Potret Peluncuran 60 Satelit Internet Starlink Milik SpaceXFoto: Mencoba WiFi di dalam Pesawat Citilink  Secepat Apa?, , https://finance.detik.com/foto-bisnis/d-4598402/grab-gandeng-telkom-untuk-garap-internet-of-things, , https://akcdn.detik.net.id/community/media/visual/2019/06/24/161852e9-76bf-40de-b43f-8cf45f0dad11_43.jpeg?w=600&q= 
Grab Gandeng Telkom untuk Garap Internet of Things, , https://finance.detik.com/foto-bisnis/d-4598402/grab-gandeng-telkom-untuk-garap-internet-of-things, , https://akcdn.detik.net.id/community/media/visual/2019/06/24/161852e9-76bf-40de-b43f-8cf45f0dad11_43.jpeg?w=600&q= 
Pastikan Desain Pixel 4  Google Diserbu Meme Lucu, , https://inet.detik.com/fotoinet/d-4585279/pastikan-desain-pixel-4-google-diserbu-meme-lucu, , https://akcdn.detik.net.id/community/media/visual/2019/06/13/67a5a534-3841-42eb-bc89-38b657de8c6a_43.jpeg?w=400&q= 
10 Negara dengan Koneksi 4G Paling Ngebut  Indonesia Urutan Berapa?, , https://inet.detik.com/fotoinet/d-4579203/10-negara-dengan-koneksi-4g-paling-ngebut-indonesia-urutan-berapa, , https://akcdn.detik.net.id/community/media/visual/2018/06/06/97a9ea87-3126-436d-9ba6-b0067b03abce_43.jpeg?w=400&q= 
Potret Peluncuran 60 Satelit Internet Starlink Milik SpaceX, , https://inet.detik.com/fotoinet/d-4566516/potret-peluncuran-60-satelit-internet-starlink-milik-spacex, , https://akcdn.detik.net.id/community/media/visual/2019/05/27/31ffc741-3ccf-4e10-8267-9030f7cd784f_43.jpeg?w=400&q= 
